state	mht	RR 50th	RR 95th
Brazil	10.8	1.518 (1.241-1.855)	1.642 (1.309-2.061)
North	22.8	1.081 (1.009-1.158)	1.059 (0.889-1.263)
Northeast	19.7	1.216 (1.104-1.339)	1.237 (1.070-1.430)
Center-West	17.0	1.393 (1.143-1.699)	1.604 (1.243-2.071)
Southeast	13.7	1.454 (1.181-1.790)	1.615 (1.295-2.014)
South	7.4	23.704 (7.047-79.734)	26.952 (7.457-97.405)
