state	mht	RR 50th	RR 95th
Brazil	10.8	1.347 (1.242-1.461)	1.415 (1.288-1.556)
North	22.8	1.081 (1.022-1.142)	1.108 (1.026-1.197)
Northeast	19.7	1.106 (1.029-1.190)	1.114 (1.006-1.234)
Center-West	17.0	1.131 (1.021-1.252)	1.278 (1.118-1.461)
Southeast	13.7	1.219 (1.067-1.394)	1.317 (1.158-1.499)
South	7.4	2.404 (1.361-4.246)	2.266 (1.306-3.931)
