state	mht	RR 50th	RR 95th
Brazil	10.8	2.080 (1.210-3.578)	2.285 (1.152-4.531)
North	30.8	1.297 (0.865-1.945)	1.061 (0.798-1.412)
Northeast	19.7	1.981 (1.179-3.329)	1.983 (0.978-4.020)
Center-West	17.0	2.176 (1.110-4.265)	2.122 (1.058-4.255)
Southeast	13.7	3.175 (1.865-5.403)	4.358 (2.699-7.038)
South	7.4	4.160 (0.557-31.070)	9.125 (1.308-63.655)
